Programa,Tempo,Comprimento,Threads
ConcQuicksort,0.000116,100,4
ConcQuicksort,0.000129,100,4
ConcQuicksort,0.000151,100,4
ConcQuicksort,0.000118,100,4
ConcQuicksort,0.000179,1000,4
ConcQuicksort,0.000160,1000,4
ConcQuicksort,0.000173,1000,4
ConcQuicksort,0.000163,1000,4
ConcQuicksort,0.000480,1000,4
ConcQuicksort,0.001188,10000,4
ConcQuicksort,0.001161,10000,4
ConcQuicksort,0.001223,10000,4
ConcQuicksort,0.001118,10000,4
ConcQuicksort,0.001142,10000,4
ConcQuicksort,0.985245,10000000,6
ConcQuicksort,0.994387,10000000,6
ConcQuicksort,0.987555,10000000,6
ConcQuicksort,0.981085,10000000,6
ConcQuicksort,0.980355,10000000,6
ConcQuicksort,0.008296,100000,6
ConcQuicksort,0.008038,100000,6
ConcQuicksort,0.008958,100000,6
ConcQuicksort,0.009434,100000,6
ConcQuicksort,0.010697,100000,6
ConcQuicksort,0.071929,1000000,6
ConcQuicksort,0.072324,1000000,6
ConcQuicksort,0.074135,1000000,6
ConcQuicksort,0.072332,1000000,6
ConcQuicksort,0.073087,1000000,6
ConcQuicksort,0.000430,10,6
ConcQuicksort,0.000284,10,6
ConcQuicksort,0.000209,10,6
ConcQuicksort,0.000241,10,6
ConcQuicksort,0.000212,10,6
ConcQuicksort,0.000371,100,6
ConcQuicksort,0.000360,100,6
ConcQuicksort,0.000205,100,6
ConcQuicksort,0.000260,100,6
ConcQuicksort,0.000385,100,6
ConcQuicksort,0.000366,1000,6
ConcQuicksort,0.000705,1000,6
ConcQuicksort,0.000360,1000,6
ConcQuicksort,0.000555,1000,6
ConcQuicksort,0.000529,1000,6
ConcQuicksort,0.001286,10000,6
ConcQuicksort,0.001119,10000,6
ConcQuicksort,0.001711,10000,6
ConcQuicksort,0.001489,10000,6
ConcQuicksort,0.001702,10000,6
ConcQuicksort,0.932632,10000000,8
ConcQuicksort,0.935957,10000000,8
ConcQuicksort,0.963414,10000000,8
ConcQuicksort,0.936186,10000000,8
ConcQuicksort,0.937551,10000000,8
ConcQuicksort,0.012026,100000,8
ConcQuicksort,0.012501,100000,8
ConcQuicksort,0.012210,100000,8
ConcQuicksort,0.011063,100000,8
ConcQuicksort,0.012296,100000,8
ConcQuicksort,0.073088,1000000,8
ConcQuicksort,0.078685,1000000,8
ConcQuicksort,0.077055,1000000,8
ConcQuicksort,0.078043,1000000,8
ConcQuicksort,0.073350,1000000,8
ConcQuicksort,0.000986,10,8
ConcQuicksort,0.000488,10,8
ConcQuicksort,0.000433,10,8
ConcQuicksort,0.000416,10,8
ConcQuicksort,0.000209,10,8
ConcQuicksort,0.000394,100,8
ConcQuicksort,0.000411,100,8
ConcQuicksort,0.000443,100,8
ConcQuicksort,0.000296,100,8
ConcQuicksort,0.000433,100,8
ConcQuicksort,0.000356,1000,8
ConcQuicksort,0.000504,1000,8
ConcQuicksort,0.000255,1000,8
ConcQuicksort,0.000341,1000,8
ConcQuicksort,0.000795,1000,8
ConcQuicksort,0.002175,10000,8
ConcQuicksort,0.002172,10000,8
ConcQuicksort,0.001149,10000,8
ConcQuicksort,0.002258,10000,8
ConcQuicksort,0.001553,10000,8
ConcQuicksort,0.854124,10000000,12
ConcQuicksort,0.862522,10000000,12
ConcQuicksort,0.857554,10000000,12
ConcQuicksort,0.846357,10000000,12
ConcQuicksort,0.848545,10000000,12
ConcQuicksort,0.015863,100000,12
ConcQuicksort,0.021617,100000,12
ConcQuicksort,0.015729,100000,12
ConcQuicksort,0.013486,100000,12
ConcQuicksort,0.016181,100000,12
ConcQuicksort,0.083082,1000000,12
ConcQuicksort,0.084064,1000000,12
ConcQuicksort,0.089239,1000000,12
ConcQuicksort,0.083593,1000000,12
ConcQuicksort,0.086409,1000000,12
ConcQuicksort,0.000908,10,12
ConcQuicksort,0.000492,10,12
ConcQuicksort,0.000862,10,12
ConcQuicksort,0.000374,10,12
ConcQuicksort,0.000488,10,12
ConcQuicksort,0.001079,100,12
ConcQuicksort,0.000719,100,12
ConcQuicksort,0.000719,100,12
ConcQuicksort,0.000750,100,12
ConcQuicksort,0.000703,100,12
ConcQuicksort,0.000984,1000,12
ConcQuicksort,0.001522,1000,12
ConcQuicksort,0.000753,1000,12
ConcQuicksort,0.001724,1000,12
ConcQuicksort,0.000677,1000,12
ConcQuicksort,0.003006,10000,12
ConcQuicksort,0.002818,10000,12
ConcQuicksort,0.003967,10000,12
ConcQuicksort,0.003296,10000,12
ConcQuicksort,0.003752,10000,12
ConcQuicksort,156.446853,1410065408,12
ConcQuicksort,150.896706,1410065408,12
ConcQuicksort,151.396893,1410065408,12
ConcQuicksort,155.178323,1410065408,12
ConcQuicksort,153.038810,1410065408,12
ConcQuicksort,101.391523,1000000000,12
ConcQuicksort,95.486755,1000000000,12
ConcQuicksort,98.508824,1000000000,12
ConcQuicksort,98.778845,1000000000,12
ConcQuicksort,99.908307,1000000000,12
ConcQuicksort,9.091648,100000000,12
ConcQuicksort,8.975549,100000000,12
ConcQuicksort,9.308996,100000000,12
ConcQuicksort,9.127711,100000000,12
ConcQuicksort,9.024203,100000000,12
ConcQuicksort,0.895173,10000000,12
ConcQuicksort,0.913862,10000000,12
ConcQuicksort,0.889797,10000000,12
ConcQuicksort,0.883887,10000000,12
ConcQuicksort,0.900541,10000000,12
ConcQuicksort,0.096062,1000000,12
ConcQuicksort,0.109292,1000000,12
ConcQuicksort,0.099161,1000000,12
ConcQuicksort,0.108587,1000000,12
ConcQuicksort,0.108056,1000000,12
ConcQuicksort,0.000709,10,12
ConcQuicksort,0.000737,10,12
ConcQuicksort,0.000616,10,12
ConcQuicksort,0.000847,10,12
ConcQuicksort,0.000752,10,12
ConcQuicksort,0.000991,100,12
ConcQuicksort,0.001345,100,12
ConcQuicksort,0.001259,100,12
ConcQuicksort,0.000911,100,12
ConcQuicksort,0.000818,100,12
ConcQuicksort,0.001217,1000,12
ConcQuicksort,0.002400,1000,12
ConcQuicksort,0.002610,1000,12
ConcQuicksort,0.001845,1000,12
ConcQuicksort,0.001170,1000,12
ConcQuicksort,0.005170,10000,12
ConcQuicksort,0.006810,10000,12
ConcQuicksort,0.005549,10000,12
ConcQuicksort,0.007311,10000,12
ConcQuicksort,0.004935,10000,12
ConcQuicksort,0.024408,100000,12
ConcQuicksort,0.017929,100000,12
ConcQuicksort,0.025383,100000,12
ConcQuicksort,0.017633,100000,12
ConcQuicksort,0.024823,100000,12
ConcQuicksort,164.073018,1410065408,8
ConcQuicksort,161.310155,1410065408,8
ConcQuicksort,161.495562,1410065408,8
ConcQuicksort,161.389159,1410065408,8
ConcQuicksort,167.008781,1410065408,8
ConcQuicksort,105.239798,1000000000,8
ConcQuicksort,104.661333,1000000000,8
ConcQuicksort,104.995650,1000000000,8
ConcQuicksort,105.342256,1000000000,8
ConcQuicksort,104.451708,1000000000,8
ConcQuicksort,9.850903,100000000,8
ConcQuicksort,9.649845,100000000,8
ConcQuicksort,9.733791,100000000,8
ConcQuicksort,9.809524,100000000,8
ConcQuicksort,9.556976,100000000,8
ConcQuicksort,0.837701,10000000,8
ConcQuicksort,0.911705,10000000,8
ConcQuicksort,0.930085,10000000,8
ConcQuicksort,0.847297,10000000,8
ConcQuicksort,0.855144,10000000,8
ConcQuicksort,0.082444,1000000,8
ConcQuicksort,0.088962,1000000,8
ConcQuicksort,0.093836,1000000,8
ConcQuicksort,0.089775,1000000,8
ConcQuicksort,0.090900,1000000,8
ConcQuicksort,0.000622,10,8
ConcQuicksort,0.000289,10,8
ConcQuicksort,0.000355,10,8
ConcQuicksort,0.000510,10,8
ConcQuicksort,0.000431,10,8
ConcQuicksort,0.000297,100,8
ConcQuicksort,0.000359,100,8
ConcQuicksort,0.000467,100,8
ConcQuicksort,0.000564,100,8
ConcQuicksort,0.000352,100,8
ConcQuicksort,0.000929,1000,8
ConcQuicksort,0.000827,1000,8
ConcQuicksort,0.001308,1000,8
ConcQuicksort,0.001206,1000,8
ConcQuicksort,0.001052,1000,8
ConcQuicksort,0.002884,10000,8
ConcQuicksort,0.002296,10000,8
ConcQuicksort,0.003350,10000,8
ConcQuicksort,0.004256,10000,8
ConcQuicksort,0.002994,10000,8
ConcQuicksort,0.013992,100000,8
ConcQuicksort,0.009761,100000,8
ConcQuicksort,0.011957,100000,8
ConcQuicksort,0.012181,100000,8
ConcQuicksort,0.013047,100000,8
ConcQuicksort,174.943977,1410065408,4
ConcQuicksort,169.143887,1410065408,4
ConcQuicksort,169.878740,1410065408,4
ConcQuicksort,169.510023,1410065408,4
ConcQuicksort,171.318832,1410065408,4
ConcQuicksort,128.963886,1000000000,4
ConcQuicksort,129.745931,1000000000,4
ConcQuicksort,129.825418,1000000000,4
ConcQuicksort,130.109276,1000000000,4
ConcQuicksort,130.971201,1000000000,4
ConcQuicksort,12.135424,100000000,4
ConcQuicksort,12.100834,100000000,4
ConcQuicksort,11.990731,100000000,4
ConcQuicksort,12.024590,100000000,4
ConcQuicksort,12.017213,100000000,4
ConcQuicksort,0.988227,10000000,4
