Programa,Tempo,Comprimento,Threads
ConcMinMaxSort,1.292102,100000,2
ConcMinMaxSort,1.312964,100000,2
ConcMinMaxSort,133.527346,1000000,2
ConcMinMaxSort,133.052353,1000000,2
ConcMinMaxSort,131.381883,1000000,2
ConcMinMaxSort,132.002206,1000000,2
ConcMinMaxSort,131.370156,1000000,2
ConcMinMaxSort,0.000089,10,2
ConcMinMaxSort,0.000077,10,2
ConcMinMaxSort,0.000108,10,2
ConcMinMaxSort,0.000066,10,2
ConcMinMaxSort,0.000063,10,2
ConcMinMaxSort,0.000063,100,2
ConcMinMaxSort,0.000068,100,2
ConcMinMaxSort,0.000082,100,2
ConcMinMaxSort,0.000062,100,2
ConcMinMaxSort,0.000090,100,2
ConcQuicksort,71.728321,1000000000,1
ConcQuicksort,72.711872,1000000000,1
ConcQuicksort,73.569136,1000000000,1
ConcQuicksort,72.190922,1000000000,1
ConcQuicksort,71.740460,1000000000,1
ConcQuicksort,5.871136,100000000,1
ConcQuicksort,5.817602,100000000,1
ConcQuicksort,5.705098,100000000,1
ConcQuicksort,5.707974,100000000,1
ConcQuicksort,5.831425,100000000,1
ConcQuicksort,0.504722,10000000,1
ConcQuicksort,0.508170,10000000,1
ConcQuicksort,0.523902,10000000,1
ConcQuicksort,0.730616,10000000,1
ConcQuicksort,0.516920,10000000,1
ConcQuicksort,0.000128,1000,1
ConcQuicksort,0.000228,1000,1
ConcQuicksort,0.000124,1000,1
ConcQuicksort,0.000104,1000,1
ConcQuicksort,0.000149,1000,1
ConcQuicksort,0.000578,10000,1
ConcQuicksort,0.000550,10000,1
ConcQuicksort,0.000559,10000,1
ConcQuicksort,0.000560,10000,1
ConcQuicksort,0.000548,10000,1
ConcQuicksort,0.004733,100000,1
ConcQuicksort,0.004771,100000,1
ConcQuicksort,0.004910,100000,1
ConcQuicksort,0.004882,100000,1
ConcQuicksort,0.005852,100000,1
ConcQuicksort,0.049834,1000000,1
ConcQuicksort,0.048815,1000000,1
ConcQuicksort,0.050417,1000000,1
ConcQuicksort,0.047694,1000000,1
ConcQuicksort,0.050590,1000000,1
ConcQuicksort,0.000077,10,1
ConcQuicksort,0.000153,10,1
ConcQuicksort,0.000076,10,1
ConcQuicksort,0.000078,10,1
ConcQuicksort,0.000089,10,1
ConcQuicksort,0.000066,100,1
ConcQuicksort,0.000071,100,1
ConcQuicksort,0.000064,100,1
ConcQuicksort,0.000066,100,1
ConcQuicksort,0.000066,100,1
ConcQuicksort,5.679766,100000000,2
ConcQuicksort,5.635510,100000000,2
ConcQuicksort,5.695507,100000000,2
ConcQuicksort,5.806681,100000000,2
ConcQuicksort,5.531165,100000000,2
ConcQuicksort,0.488019,10000000,2
ConcQuicksort,0.503984,10000000,2
ConcQuicksort,0.514682,10000000,2
ConcQuicksort,0.513102,10000000,2
ConcQuicksort,0.530833,10000000,2
ConcQuicksort,0.000176,1000,2
